expense_id,amount,merchant,description,category
E94,53.49,Chipotle,pizza,Food
E1152,291.41,Expedia,flight ticket,Travel
E1006,175.63,CVS,medicine,Other
E1184,270.2,Southwest,holiday,Travel
E328,62.12,Gas Station,ride share,Transport
E140,74.5,Chipotle,food shopping,Food
E663,64.36,Xbox,streaming service,Entertainment
E1010,378.53,Pharmacy,medicine,Other
E1237,835.46,Delta,accommodation,Travel
E1047,119.91,Doctor Office,dental checkup,Other
E1207,1196.68,Delta,hotel booking,Travel
E696,73.21,Cinema,netflix subscription,Entertainment
E742,385.13,Allstate,life insurance,Insurance
E1442,152.64,Children's Place,kids necessities,Kids
E1404,230.75,Service Center,car parts,Car
E730,485.97,Health Insurance,auto coverage,Insurance
E100,51.83,Local Restaurant,breakfast,Food
E324,90.19,Gas Station,subway fare,Transport
E348,58.74,Metro,car ride,Transport
E109,53.92,Starbucks,dinner,Food
E105,31.21,Local Restaurant,supermarket,Food
E436,141.2,Verizon,gas bill,Utilities
E1056,104.15,Medical Center,dental checkup,Other
E432,67.21,Internet Provider,utility payment,Utilities
E336,125.54,Taxi,transportation,Transport
E437,269.69,AT&T,energy bill,Utilities
E958,54.96,Zara,online shopping,Other
E1254,413.7,Loan Company,credit card payment,Debt/Loans
E1430,347.78,Car Dealer,car repair,Car
E1160,802.97,Expedia,flight ticket,Travel
E864,297.22,Walmart,gadgets,Other
E1139,763.21,Online Course,study materials,School
E780,460.09,Auto Insurance,medical insurance,Insurance
E119,14.6,Starbucks,meat and vegetables,Food
E1322,407.95,Credit Card,credit payment,Debt/Loans
E1488,168.16,Daycare,daycare,Kids
E1004,317.49,Dentist,medical appointment,Other
E14,72.18,Burger King,weekly groceries,Food
E543,1667.75,Housing Authority,lease payment,Rent/Mortgage
E266,110.86,Shell,subway fare,Transport
E1148,982.45,Library,school supplies,School
E43,43.83,McDonald's,dairy products,Food
E289,73.28,Uber,transportation,Transport
E803,115.54,Auto Insurance,insurance payment,Insurance
E1369,381.49,Tire Shop,tire replacement,Car
E1271,679.18,Bank,student loan,Debt/Loans
E953,68.47,Department Store,gadgets,Other
E805,293.01,Health Insurance,life insurance,Insurance
E843,106.97,Walmart,shoes,Other
E939,244.45,Target,gadgets,Other
E217,126.04,Chevron,subway fare,Transport
E1393,179.04,Car Wash,tire replacement,Car
E1477,98.26,School,kids necessities,Kids
E914,128.57,Online Store,online shopping,Other
E130,68.74,Cafe,pizza,Food
E1253,424.85,Chase,student loan,Debt/Loans
E599,48.6,Xbox,theater tickets,Entertainment
E605,49.54,PlayStation,streaming service,Entertainment
E222,125.65,Exxon,gas fill up,Transport
E781,152.7,Insurance Co,insurance payment,Insurance
E355,237.17,City Utilities,water bill,Utilities
E526,1572.63,Apartment Complex,rental fee,Rent/Mortgage
E555,1972.81,Real Estate,mortgage payment,Rent/Mortgage
E12,10.47,Starbucks,weekly groceries,Food
E396,227.62,City Utilities,gas bill,Utilities
E1361,136.36,Tire Shop,tire replacement,Car
E225,91.56,Chevron,ride share,Transport
E1028,83.81,Doctor Office,health checkup,Other
E1508,189.66,401k,savings deposit,Saving
E1216,1225.15,Booking.com,travel expenses,Travel
E1048,286.82,Clinic,pharmacy,Other
E698,73.56,HBO Max,theater tickets,Entertainment
E446,194.05,Electric Company,energy bill,Utilities
E1282,461.57,Bank,credit payment,Debt/Loans
E1265,465.95,Wells Fargo,mortgage interest,Debt/Loans
E965,113.03,Macy's,online shopping,Other
E859,184.41,Amazon,accessories,Other
E697,49.61,HBO Max,netflix subscription,Entertainment
E1353,227.01,Tire Shop,car service,Car
E358,227.66,City Utilities,water bill,Utilities
E345,13.23,Parking Lot,commute,Transport
E304,19.83,Metro,parking fee,Transport
E1170,927.27,Booking.com,hotel booking,Travel
E1206,1255.57,Travel Agency,hotel booking,Travel
E340,55.72,Metro,train ticket,Transport
E934,96.83,Target,clothes shopping,Other
E666,67.72,Game Store,shows,Entertainment
E147,83.49,Starbucks,takeout,Food
E1493,56.18,Daycare,toys,Kids
E746,148.29,Insurance Co,car insurance,Insurance
E868,260.52,Amazon,fashion,Other
E1525,636.78,IRA,retirement contribution,Saving
E876,284.45,Walmart,shoes,Other
E1294,197.97,Loan Company,mortgage interest,Debt/Loans
E1060,236.34,Pharmacy,medication,Other
E720,15.93,Disney+,streaming service,Entertainment
E113,35.14,Starbucks,supermarket,Food
E610,45.87,Netflix,entertainment subscription,Entertainment
E1336,326.7,Service Center,tire replacement,Car
E714,9.47,Concert Hall,netflix subscription,Entertainment
E642,66.81,HBO Max,streaming service,Entertainment
E1284,215.94,Bank,loan payment,Debt/Loans
E1222,269.49,Hotel.com,flight ticket,Travel
E121,49.3,Cafe,grocery store,Food
E68,69.4,Taco Bell,burger,Food
E723,179.19,Insurance Co,insurance payment,Insurance
E1094,170.9,Library,learning materials,School
E1356,214.0,Oil Change,car parts,Car
E363,114.93,Internet Provider,heating,Utilities
E312,126.25,Gas Station,subway fare,Transport
E290,112.9,Uber,transportation,Transport
E734,454.39,Allstate,home insurance,Insurance
E820,420.88,State Farm,home insurance,Insurance
E829,103.39,Best Buy,accessories,Other
E1052,34.3,Doctor Office,medication,Other
E379,148.15,Water Dept,power bill,Utilities
E770,285.72,Health Insurance,insurance premium,Insurance
E443,292.93,Comcast,home utilities,Utilities
E1122,634.79,Bookstore,study materials,School
E271,114.42,Lyft,bus ticket,Transport
E1013,176.74,Dentist,doctor visit,Other
E71,99.24,Food Truck,takeout,Food
E453,260.16,Phone Company,utility payment,Utilities
E1482,36.55,Babysitter,babysitting,Kids
E353,244.24,Comcast,gas bill,Utilities
E382,242.18,Verizon,gas bill,Utilities
E751,325.47,State Farm,medical insurance,Insurance
E26,80.92,Chipotle,supermarket,Food
E199,57.72,Starbucks,grocery store,Food
E318,40.76,Shell,car ride,Transport
E892,91.16,Nordstrom,retail shopping,Other
E659,30.74,Spotify,video game,Entertainment
E1487,174.25,Babysitter,daycare,Kids
E1092,246.04,Library,tuition,School
E322,95.82,BP,bus ticket,Transport
E6,90.93,Burger King,fresh produce,Food
E715,62.3,Spotify,gaming,Entertainment
E1313,714.8,Loan Company,car loan,Debt/Loans
E1447,169.24,Children's Place,kids clothes,Kids
E356,170.6,Verizon,cooling,Utilities
E1304,798.63,Credit Card,mortgage interest,Debt/Loans
E402,104.18,City Utilities,energy bill,Utilities
E55,57.81,Panera Bread,coffee,Food
E685,44.33,Netflix,shows,Entertainment
E216,46.99,Lyft,taxi fare,Transport
E595,56.48,Concert Hall,concert ticket,Entertainment
E157,81.31,Food Truck,dairy products,Food
E307,70.62,Chevron,car ride,Transport
E551,1270.12,Real Estate,apartment rent,Rent/Mortgage
E19,66.98,Food Truck,takeout,Food
E202,139.75,Uber,fuel,Transport
E814,448.05,Progressive,insurance payment,Insurance
E279,82.87,Taxi,parking fee,Transport
E1349,181.55,Service Center,car wash,Car
E125,33.02,Starbucks,takeout,Food
E416,67.31,Phone Company,power bill,Utilities
E1384,316.89,Service Center,car service,Car
E993,361.82,Walgreens,medication,Other
E127,18.23,Local Restaurant,burger,Food
E195,78.2,Taco Bell,coffee,Food
E535,1714.38,Property Management,house payment,Rent/Mortgage
E1397,68.58,Service Center,car repair,Car
E1528,634.28,Bank,savings plan,Saving
E1546,957.78,Savings Account,investment fund,Saving
E1077,948.64,University,books,School
E213,93.94,Metro,subway fare,Transport
E1103,719.4,Online Course,textbooks,School
E682,17.64,Cinema,music subscription,Entertainment
E439,50.19,Internet Provider,utility payment,Utilities
E261,117.55,Parking Lot,taxi fare,Transport
E906,195.21,Macy's,accessories,Other
E511,1262.53,Apartment Complex,rent payment,Rent/Mortgage
E639,25.54,Amazon Prime,streaming service,Entertainment
E1325,686.52,Capital One,mortgage interest,Debt/Loans
E1517,707.34,Bank,retirement contribution,Saving
E364,114.78,City Utilities,power bill,Utilities
E614,79.07,Concert Hall,concert ticket,Entertainment
E465,140.25,Verizon,heating,Utilities
E653,43.68,Theater,concert ticket,Entertainment
E1211,316.13,United,holiday,Travel
E1280,436.4,Lending Company,student loan,Debt/Loans
E584,34.57,Amazon Prime,movies,Entertainment
E1342,382.34,Car Dealer,auto repair,Car
E718,42.2,Steam,movies,Entertainment
E17,68.81,Pizza Hut,groceries shopping,Food
E1181,964.62,Airlines,travel expenses,Travel
E181,21.17,Starbucks,groceries shopping,Food
E1018,123.65,CVS,medicine,Other
E593,74.07,Cinema,shows,Entertainment
E1151,1034.55,Travel Agency,travel expenses,Travel
E1154,616.04,Southwest,travel booking,Travel
E1086,668.21,Online Course,textbooks,School
E177,77.91,Dunkin Donuts,food shopping,Food
E323,83.43,Taxi,ride share,Transport
E517,1238.06,Apartment Complex,house payment,Rent/Mortgage
E208,100.15,Parking Lot,gas fill up,Transport
E372,179.06,City Utilities,cooling,Utilities
E1171,436.24,Expedia,travel expenses,Travel
E1202,830.46,Hotel.com,travel booking,Travel
E1385,470.33,Car Wash,car service,Car
E559,1382.51,Bank,monthly rent,Rent/Mortgage
E1088,912.27,Education Center,training,School
E1267,249.37,Lending Company,debt payment,Debt/Loans
E617,75.83,Theater,theater tickets,Entertainment
E735,494.89,Geico,auto coverage,Insurance
E242,102.8,Train Station,commute,Transport
E251,59.39,Train Station,ride share,Transport
E692,29.04,Concert Hall,video game,Entertainment
E652,49.53,Amazon Prime,movies,Entertainment
E921,68.24,Walmart,accessories,Other
E618,13.45,Game Store,netflix subscription,Entertainment
E48,92.72,Cafe,coffee,Food
E955,133.83,Amazon,household items,Other
E308,10.2,Parking Lot,subway fare,Transport
E411,94.27,City Utilities,electricity bill,Utilities
E1113,159.24,Udemy,course fee,School
E747,152.02,Progressive,medical insurance,Insurance
E1236,650.59,Expedia,travel booking,Travel
E1518,743.8,Investment,savings transfer,Saving
E804,320.39,Auto Insurance,auto coverage,Insurance
E1142,241.72,Coursera,textbooks,School
E1468,173.53,Toy Store,daycare,Kids
E896,61.74,Nordstrom,online shopping,Other
E865,274.53,H&M,accessories,Other
E835,228.86,Zara,online shopping,Other
E918,298.9,Online Store,household items,Other
E1112,40.16,School,online course,School
E717,73.9,Theater,movie ticket,Entertainment
E1043,260.88,Doctor Office,doctor visit,Other
E986,292.17,Clinic,dental checkup,Other
E1240,936.18,Delta,flight ticket,Travel
E273,97.3,Gas Station,train ticket,Transport
E339,116.26,Shell,car ride,Transport
E347,118.28,BP,taxi fare,Transport
E477,976.12,Property Management,house payment,Rent/Mortgage
E1016,150.71,Clinic,doctor visit,Other
E149,72.78,Burger King,groceries shopping,Food
E1141,820.06,Bookstore,learning materials,School
E438,200.23,Comcast,electricity bill,Utilities
E602,77.7,Disney+,theater tickets,Entertainment
E1272,228.33,Chase,credit card payment,Debt/Loans
E1275,667.69,Wells Fargo,student loan,Debt/Loans
E23,91.92,Taco Bell,snack,Food
E869,190.47,Nike,electronics,Other
E845,271.4,H&M,electronics,Other
E489,1636.62,Landlord,house payment,Rent/Mortgage
E890,73.3,Best Buy,accessories,Other
E314,129.48,Shell,subway fare,Transport
E204,94.82,Parking Lot,taxi fare,Transport
E1513,582.76,IRA,investment fund,Saving
E1022,302.2,Medical Center,medication,Other
E960,292.39,Best Buy,home goods,Other
E1362,329.64,Car Wash,car maintenance,Car
E1474,58.58,Kids Store,kids clothes,Kids
E425,222.71,Verizon,energy bill,Utilities
E351,143.02,Phone Company,internet bill,Utilities
E10,19.97,Local Restaurant,meat and vegetables,Food
E1450,182.12,Toy Store,babysitting,Kids
E426,62.65,Verizon,internet bill,Utilities
E658,74.71,Cinema,netflix subscription,Entertainment
E272,131.0,Bus Station,commute,Transport
E398,259.54,Phone Company,gas bill,Utilities
E83,87.79,Burger King,meal,Food
E1128,961.73,Education Center,learning materials,School
E1545,821.16,Retirement Fund,401k contribution,Saving
E589,31.38,Game Store,gaming,Entertainment
E1413,56.97,Service Center,oil change,Car
E33,48.19,Starbucks,snack,Food
E527,2308.97,Apartment Complex,rental fee,Rent/Mortgage
E1040,298.99,Pharmacy,pharmacy,Other
E1130,917.61,Education Center,learning materials,School
E98,15.7,Local Restaurant,meal,Food
E923,27.82,Nordstrom,clothes shopping,Other
E1431,47.68,School,children supplies,Kids
E1015,67.69,Doctor Office,hospital bill,Other
E1542,530.67,Brokerage,401k contribution,Saving
E989,286.96,Walgreens,doctor visit,Other
E1257,592.75,Capital One,debt payment,Debt/Loans
E500,1409.45,Mortgage Company,rental fee,Rent/Mortgage
E951,166.9,Walmart,electronics,Other
E1063,391.83,Dentist,medical appointment,Other
E297,70.87,Taxi,transportation,Transport
E1281,501.17,Credit Card,car loan,Debt/Loans
E1159,979.45,Delta,accommodation,Travel
E1218,857.54,Travel Agency,accommodation,Travel
E1073,151.55,Coursera,tuition,School
E1136,970.51,Coursera,education,School
E887,104.13,H&M,clothes shopping,Other
E361,249.54,Phone Company,phone bill,Utilities
E1302,723.61,Wells Fargo,loan payment,Debt/Loans
E1400,147.59,Auto Parts,car wash,Car
E1165,977.12,United,trip,Travel
E1550,206.5,401k,savings deposit,Saving
E587,21.25,HBO Max,video game,Entertainment
E117,65.03,Burger King,food shopping,Food
E1110,583.43,Bookstore,study materials,School
E870,267.92,Department Store,tech purchase,Other
E248,103.62,Taxi,car ride,Transport
E862,212.12,Best Buy,home goods,Other
E8,94.95,Local Restaurant,dairy products,Food
E124,46.17,Subway,grocery store,Food
E235,93.12,Uber,toll fee,Transport
E950,117.46,Nordstrom,shoes,Other
E1409,149.36,Auto Parts,vehicle maintenance,Car
E487,2471.81,Apartment Complex,lease payment,Rent/Mortgage
E494,2241.79,Property Management,house payment,Rent/Mortgage
E227,15.06,Gas Station,subway fare,Transport
E948,174.26,Macy's,fashion,Other
E1365,293.09,Mechanic,car parts,Car
E103,69.0,Panera Bread,fast food,Food
E1436,135.8,Toys R Us,kids necessities,Kids
E360,165.92,Electric Company,water bill,Utilities
E205,104.32,Bus Station,car ride,Transport
E669,55.04,Disney+,spotify premium,Entertainment
E32,17.12,KFC,burger,Food
E1175,419.33,Airbnb,holiday,Travel
E1235,120.81,Expedia,hotel booking,Travel
E44,15.9,Chipotle,dinner,Food
E475,2241.78,Real Estate,monthly rent,Rent/Mortgage
E1027,86.33,Hospital,medicine,Other
E1433,129.4,Toys R Us,toys,Kids
E471,1825.61,Apartment Complex,mortgage payment,Rent/Mortgage
E88,43.68,Burger King,snack,Food
E576,48.69,Steam,movies,Entertainment
E972,99.44,Doctor Office,medical expense,Other
E657,76.28,Amazon Prime,movies,Entertainment
E1243,1008.44,Hotel.com,tourism,Travel
E807,305.64,Health Insurance,home insurance,Insurance
E777,258.11,Progressive,auto coverage,Insurance
E940,259.93,Zara,online shopping,Other
E241,55.38,Gas Station,bus ticket,Transport
E1495,173.48,Kids Store,babysitting,Kids
E582,19.33,Concert Hall,video game,Entertainment
E72,99.67,McDonald's,burger,Food
E374,115.33,Electric Company,power bill,Utilities
E321,66.7,Bus Station,metro card,Transport
E664,29.89,Cinema,entertainment subscription,Entertainment
E410,132.16,AT&T,power bill,Utilities
E873,258.71,H&M,home goods,Other
